name,desc
Shirt,A plain shirt to wear under clothes. It's made from materials which absorb sweat well.
Vest,Fancy clothing that keeps you warm. Also called a waistcoat.
Wooly Shirt,"The puffy wool protects you from attacks, but it's soooooo annoying to wash."
Mercenary's Cloak,Makes you look super cool.
Mail,You've got mail!
Cotton Cloth,"Might look like bandages, but they're not. Also not recommended as a chest wrap for women."
Chain Mail,"With this, straw sandals and a ninja sword on your back, you're on your way to becoming a true warrior!"
Scale Vest,A vest studded with scales.
Protector,Equipment that prevents accidents before they happen.
Wind Cloak,"A cloak imbued with the element of wind. Don't get any bright ideas and start jumping off of buildings, though."
Sparkling Shirt,This is the biggest challenge for people who love clothes. Wearing something like this... Are you out of mind?
Platinum Mail,A luxurious mail made of platinum.
Lamellar Vest,Armor made from plate-shaped scales. It doesn't impede your speed and also protects you well.
Elvish Cloak,A brilliant cloak that is absolutely perfect. Only the beautiful can wear this.
Power Protector,A reinforced protector. It will prevent any accidents. Disclaimer: Not to be used when cooking.
Dragon Cloak,"A cloak with the symbol of a dragon. Anything with dragons on it is strong, right?"
Rune Vest,A vest imbued with the power of runes.
Royal Garter,Makes you feel the dignity of a king.
Four Dragons' Vest,A vest blessed by Native Dragons. Can tolerate any attack.
Brush,An item used to brush monsters. Capable of grooming just about anything!
Clippers,An item used to trim and clip Wooly fur. Designed not to hurt its target.
Magnifying Glass,An item used to check soil quality. Equip and examine fields to learn more about your crops.
Turnip Seeds,"Grows well from summer to fall. Recommended for beginners. Most common crop in the game, for some reason."
Potato Seeds,"Grows well from spring to summer, but not in winter. Grows beautiful flowers."
Cucumber Seeds,"Grows well from spring to summer, but not in winter. Hearty ones may grow again after harvesting."
Strawberry Seeds,Grows well in spring and fall. Bears sweet fruits. Hearty ones may grow again after harvesting.
Cabbage Seeds,"Grows well in spring and fall. Grows fast, and rarely withers."
Moondrop Seeds,"Grows well in spring and fall, but not in winter. An easy flower to grow."
Toyherb Seeds,"Grows well in spring but not in winter. A fast grower, but delicate and tough to harvest. Cures fatigue if fully grown."
Tomato Seeds,"Grows well from spring to summer, but not in winter. Grows nutritious tomatoes. May grow again after harvesting."
Corn Seeds,"Grows well from spring to summer, but not in winter. Improves the soil if you till it without harvesting."
Onion Seeds,Grows well in fall. Easy to harvest and easy on the soil.
Pumpkin Seeds,"Grows well from spring to summer, but not in winter. Easy on the soil. May grow again after harvesting."
Pineapple Seeds,"Grows well in summer, but not in other seasons. Takes time to grow. May grow again after harvesting, but tough on soil."
Pink Cat Seeds,"Grows well in summer, but not in winter. Grows fast, is easy to harvest, but withers fast."
Eggplant Seeds,"Grows well from spring to summer, but not in winter. Hearty ones may grow again after harvesting."
Carrot Seeds,Grows well in fall. A well-balanced crop that's easy on the soil.
Yam Seeds,"Grows well from summer to fall, but not in winter. Easy on the soil."
Spinach Seeds,"Grows well in fall. Grows fast, but withers quickly. Don't forget to water it every day!"
Green Pepper Seeds,"Grows well in summer, but not in winter. Highly nutritious. Hearty ones may grow again after harvesting."
Charm Blue Seeds,"Grows well in fall, but not in winter. Easy to grow, with a good balance of growth rate and resilience."
Fodder Seeds,Grow feed for the monsters. Hearty ones may grow again after harvesting.
Cherry Grass Seeds,"Grows well in spring, but not in winter. Grows a light pink flower."
Lamp Grass Seeds,Grows well in winter. Takes a long time to grow. Mainly used as an ingredient in medicines.
Blue Crystal Seeds,"Grows well in spring, but not in other seasons. Takes a long time to grow. Its seed resembles blue crystal."
Emery Flower Seeds,"Takes a very long time to grow. Rarely withers, and can be cultivated by almost anyone."
Ironleaf Seeds,"Grows well in winter, but not in summer. Takes a long time to grow. Has a special power to gather iron from the soil."
Clover Seeds,"Grows well in spring and fall, but not in summer. A lucky seed that brings good fortune, but withers very easily."
Fireflower Seeds,"Grows well in summer, but not in winter. Its seeds are as black as gunpowder."
Green Crystal Seeds,"Grows well in summer, but not in other seasons. Takes a long time to grow. Its seed resembles green crystal."
Noel Grass Seeds,"Grows well in winter, but not in summer. Takes a long time to grow but rarely withers. Used in certain festivals."
Autumn Grass Seeds,"Grows well in fall, but not in winter. Takes a long time to grow. Its seed is red and round."
Pom-Pom Grass Sds.,"Grows well in fall, but not in winter. Takes a long time to grow. Its seed is white and soft."
Red Crystal Seeds,"Grows well in fall, but not in other seasons. Takes a long time to grow. Its seed resembles red crystal."
White Crystal Seeds,"Grows well in winter, but not in other seasons. Takes a long time to grow. Its seed resembles white crystal."
Pink Turnip Seeds,"Grows well in spring, but not in winter. Grows a beautiful pink turnip. Easy to harvest. Popular with novice farmers."
Radish Seeds,"Grows well in fall, but not in summer. Has a good balance of growth rate and resilience. Easy on the soil."
Leek Seeds,"Grows well in spring and fall, but not in summer. Withers fairly easily, but is easy on the soil."
Bok Choy Seeds,"Grows well in fall, but not in summer. Weak to heat."
Gold Cabbage Seeds,"Grows well in winter, but not in summer. Grows into a gorgeous golden cabbage."
Gold Pumpkin Seeds,"Grows well in winter, but not in summer. Grows into a gorgeous golden pumpkin. May grow again after harvesting."
Gold Potato Seeds,"Grows well in winter, but not in summer. Grows into a gorgeous golden potato."
Gold Turnip Seeds,"Grows well in winter, but not in summer. Grows into a gorgeous golden turnip."
Gold Melon Seeds,"Grows well from spring to summer, but not in winter. Cultivated by a cute girl. May grow again after harvesting."
Hot-Hot Seeds,"Grows well in winter, but not in summer. Takes some time to grow, but is easy to harvest and doesn't wither easily."
Apple Tree Seeds,"Doesn't grow well in winter. Once it grows into a tree, it will produce apples every day."
Orange Tree Seed,"Doesn't grow well in winter. Once it grows into a tree, it will produce oranges every day."
Grape Tree Seed,"Doesn't grow well in winter. Once it grows into a tree, it will produce grapes every day."
Shining Seed,Doesn't grow well in winter. Produces a lot of lumber. May produce ore.
Dungeon Seed,"Grows to a dungeon. Depending on the level of the seed, it may bloom into a particularly difficult one."
Sword Seed,"Grows into a sword. Neat, huh?"
Shield Seed,"Grows into a shield. Cool, right?"
Wettable Powder,Sprinkle on soil to make plants stronger against typhoons and snowstorms.
Greenifier,An item used to raise soil quality. Improves soil's ability to grow higher-level crops.
Greenifier+,An item used to raise soil quality. Improves soil's ability to grow higher-level crops.
Formula A,Sprinkle on soil to grow crops faster. It's somewhat effective.
Formula B,Sprinkle on soil to grow crops faster. It's pretty effective.
Formula C,Sprinkle on soil to grow crops faster. It's super effective!
No Rot Î±,Sprinkle on soil to prevent plants from wilting.
No Rot Î²,Sprinkle on soil to prevent plants from wilting. It's more effective than the α version.
Giantizer,Sprinkle on soil to grow gargantuan produce.
Minimizer,Sprinkle on soil to grow smaller plants. Also makes soil healthier.
Fodder,Feed for monsters. Nutritious and sweet. Generally well-liked.
Fur (S),Wooly's fur. Used as yarn.
Fur (M),Wooly's fur. Used as yarn.
Fur (L),Wooly's fur. Used as yarn.
Yarn,A large ball of yarn.
Scrap Metal,"Has limited use, and thus sees limited shipments."
Iron,A type of mineral used in the forging of items and accessories. Found everywhere.
Bronze,A type of mineral used in the forging of items and accessories. Pretty common.
Silver,A type of mineral used in the forging of items and accessories. Valuable and highly sought after.
Gold,A type of mineral used in the forging of items and accessories. Valuable and highly sought after.
Platinum,A type of mineral used in the forging of items and accessories. Extremely rare and hard to find.
Orichalcum,A legendary ore used for making weapons or accessories.
Diamond,A very hard gem known as the 'King of Gemstones.' Symbolizes purity.
Ruby,A red-colored gem symbolizing passion. Those that cast star-shaped reflections are particularly valuable.
Emerald,A beautiful green-colored gem symbolizing happiness. Those that are clear and smooth are the most valuable.
Sapphire,"A gem that comes in different colors such as pink, blue, yellow and green. Symbolizes love."
Amethyst,A gem long known for its mysterious energy. Symbolizes peace of mind.
Aquamarine,A gem as blue as the deep sea. Symbolizes calmness.
Cheap Cloth,A poor-quality swatch of cloth. Unstitches when you so much as breathe on it.
Quality Cloth,A cloth of fine quality. Its fabric is tough and not easily torn.
Silk Cloth,"A smooth, silky cloth. Go ahead and rub your face in it. Doesn't that feel nice?"
Arrowhead,"Rusty and useless as-is, but might shine if polished. Kind of like humanity..."
Warrior's Proof,A proof handed down among the warrior tribes. Awarded by chiefs when a warrior attains manhood.
Glue,An adhesive made from boiled animal skin. Teacher will get mad if she catches you eating it.
Old Bandage,Tattered bandage that's basically falling apart. Kind of grody.
Gunpowder,Gunpowder for fire arrows. Explosive and dangerous. Handle with care.
Earth Crystal,"Crystallized earth magic. Hard as a rock. Harder, actually!"
Devil Horn,A horn of a demon. Filled with magical power.
Devil Blood,Life's blood collected from demons. Valued as medicine.
Magic Powder,Magically-infused powder. Water-soluble and has many uses.
Magic Crystal,Crystallized magic. Often dissolved before use.
Shoulder Piece,"Rough, wooden shoulder piece. Not terribly exciting."
Giant's Nail,A giant fingernail. Gross!
Giant's Gloves,Gloves worn by giants. Tough material that doesn't tear easily.
Hammer Piece,"A piece of broken hammer. Gotta be useful for something, right?"
Insect Carapace,The carapace of an insect. Light but tough.
Insect Jaw,A monster jaw strong enough to chew through just about anything.
Spider's Thread,An elastic string that's hard to break. Comes from a spider's butt.
Pretty Thread,A shiny thread commonly used to make fabric. Comes from a spider's butt.
Pretty Carapace,The carapace of an insect. Dappled and beautiful.
Rigid Horn,A jagged and dappled horn. Looks dangerous.
Scorpion Tail,A highly poisonous scorpion tail. Handle with care!
Scorpion Pincer,"Pincers that can easily cut through branches. They hurt, like, sooo much."
Panther Claw,"Razor-sharp claw, stronger than steel."
Dragon Fang,A hard fang strong enough to leave tooth marks on iron.
Wolf Fang,A sharp fang that can instantly kill prey with a single bite.
Quality Fur,"Warm, soft and shiny fur. Raises resistance to knockouts when used in upgrades."
Bull's Horn,A sharp and dangerous horn. Worth a lot if its unscratched.
Bird's Feather,A soft feather that's prickly at the base and pointy on one end.
Wind Crystal,"Crystallized wind magic. Constantly cushioned in fierce, ravaging winds."
Fur,Stiffly textured fur. Slightly matted.
Root,Tree root used in crafting. Can be used in weapons or ground into medicine.
Spore,A mushroom spore. Could it be an ancient menace from outer space?!
Poison Powder,Poisonous powder used to add poison to weapons and equipment. Leon might like it. Weirdo.
Plant Stem,Strong and thick plant stem used for various purposes.
Strong Vine,"A long, thin, strong vine. Can be wrapped and banded."
Fish Fossil,An ancient fish fossil. Some collectors would kill to find one!
Water Crystal,"Crystallized water magic. Easily broken, so must be handled with care."
Turtle Shell,"A hard turtle shell. Good when you want to make something hard. (Hey, get your mind out of the gutter!)"
Fire Crystal,Crystallized fire magic. Extremely hot. Must not be touched with bare hands.
Ghost Hood,A hood that covers the head. Special material with spooky powers.
Skull,"A creepy skull. Some people love this kind of stuff, though."
Broken Hilt,A broken piece of hilt. Fits nicely in the hand.
Broken Box,An old wooden box. Get inside and pretend it's a spaceship!
Fairy Dust,Fairy dust that sparkles at night.
Small Crystal,Runes that have crystallized over the years. Very rare.
Wooly Furball,Fur dropped by a Wooly. Inconceivably soft.
Light Crystal,Crystallized light magic. Naturally luminous.
Dark Crystal,Crystallized darkness magic. Turns everything light to dark.
Love Crystal,Crystallized love that brings happiness. Generously lets you take your foes' HP when you attack.
Raccoon Leaf,A magical leaf used by wily raccoons. Very handy tool that aids in transformation. Improves a weapon's range.
Dragon Bones,"Ancient dragon bones. Old, but still quite tough. Used for numerous purposes."
Red Lion Fur,Beautiful red lion fur. The burning red color symbolizes strength.
Blue Lion Fur,Beautiful blue lion fur. The sparkling coat and dark blue hue symbolize wisdom.
Broken Ice Wall,A piece of Death Wall that's still conscious. Might try to creep up on you sometimes.
Ammonite,"Octopirate's ancient friend. Used to endure hardships, but not resistant to magic."
Icy Nose,A sculpture in the shape of a Crystal Mammoth's trunk. Mammoths love to carry it around.
Chest Hair,A Greater Demon's wild chest hair. So masculine!
Chimera Tail,A Chimera's snake-like tail. Has a mind of its own.
Grimoire Scale,A scale of the legendary Grimoire. Nobody has ever possessed one. Until now!
Legendary Scale,A scale from a legendary fish in the lake. Greatly absorbs HP when used in upgrades.
Dragon Fin,"The fin of a legendary dragon. A perfect material that's hard, supple and lightweight."
Moving Branch,"A creepy branch that twitches. Strong in vitality, cutting it only makes it grow."
Electro Crystal,An electrified crystal found within a Bane Dragon. Don't hold it with your bare hands!
Melody Bottle,A small bottle that contains a Siren's voice. Sings an intoxicating melody if opened.
Golem Tablet,"A tablet that was once part of a Golem's body. It has '_METH' written on it, and serves as a source of power."
Earthwyrm Scale,A scale from a legendary earth dragon. Incredibly hard and unable to be scratched.
Firewyrm Scale,A scale from a legendary fire dragon. Strong enough to endure even volcanic eruptions.
Ambrosia's Thorns,Thorns that protect Ambrosia's chrysalis. All beautiful roses have sharp thorns.
Lightning Mane,A mane crackling with electricity. It'll shock you if you touch it.
Cursed Doll,"It's scary. Very scary. By the way, who's standing behind you?"
Puppetry Strings,Strings that were controlling Marionetta. Not the thread of a spider you saved.
Left Rock Shard,"A shard that Sano gave you as a favor. You didn't take it away by force, right?!"
Right Rock Shard,"A shard that Uno gave you as a favor. You didn't take it away by force, right?!"
Crystal Skull,A crystal in the shape of a skull. Those who love jewels and hate ghosts will be upset by this.
Throne of the Empire,A picture of the emperor. It goes for a high price in the Sechs Empire.
Wind Dragon Tooth,"According to Venti, she can grow new teeth by using her magic power, but since it's tiring, she hates to do it."
Rune Sphere Shard,"A shard made from an enormous amount of crystallized runes. Although just a piece, it has a lot of power."
Rafflesia Petal,A petal from a rafflesia. It makes a really fancy fan.
MTGU Plate,"A plate created through science. ""MTGU"" stands for Miserable Trash Garbage Useless. See? Even the name is poorly designed."
Cheap Propeller,"A cheap-looking propeller used as a weapon. Being poor is not sad, but this is sad."
Quality Propeller,A well-made propeller used as a weapon. It's obvious that the company had a lot of assets when they made this.
Rusty Screw,A screw from something.
Shiny Screw,A screw from something. People get upset if they find a screw left after making something.
Palm Claw,"It's sharp. Also, it hurts."
Malm Claw,"It's sharp. It hurts. Also, it's blue."
Big Crystal,A big crystal made of something that's been mixed together. It is said that it's made up of people's thoughts.
Rune Crystal,Runes that crystalized naturally. Feels warm somehow.
Green Core,A green crystal with magic power. Makes you more kindly for some reason.
Red Core,A red crystal overflowing with magic power. Makes you energetic.
Yellow Core,A yellow crystal suffused with magic power. Makes you feel cheerful.
Blue Core,A blue crystal that has magic power. Makes you feel calm.
Water Dragon Ash,A mockery of a Water Dragon ended up like this.
Fire Dragon Ash,A mockery of a Fire Dragon ended up like this.
Earth Dragon Ash,A mockery of an Earth Dragon ended up like this.
Holy Spore,A spore that is very rare. It is said the spore goes to Gandhara when it disperses.
White Stone,There's a legend that women who were asked to marry while being presented with this stone lived happily ever after.
Invisible Stone,A stone that is invisible. Difficult to find for obvious reasons. It's classified as a monster in a country to the east.
Shade Stone,A rare stone that absorbs all surrounding light. Often used to blot out the world when darkness is preferred.
Double Steel,Special steel that doubles the effect of the material used to previously reinforce an item.
10-Fold Steel,The rarest steel among Double Steels. Multiplies the effect of the material used to previously reinforce an item.
Round Stone,Turned round after years of polishing under a waterfall.
Glitta Augite,"A strange stone produced by a tree. Emits strong light. If used for reinforcing a weapon, extends the range."
Light Ore,A highly rare ore that can be used to change a weapon's category.
Scrap Metal+,A super-duper awesomely spectacular piece of scrap metal that's super-duper useless to most people.
Stick,"A thin stick that can be used for materials. You could poke things with it too, I guess."
Quality Puffy Fur,"Really puffy fur. Like, the puffiest of puff. It's really puffy for sure!"
Yellow Down,"Soft, feathery duck down. Looks outstanding."
Penguin Down,"Down from an emperor penguin. ""Emperor"" is not their title, but their name."
Ivory Tusk,The discarded tusk of an elephant. Beautiful and easy to work. It's shed and regrown.
Unbroken Ivory Tusk,"The discarded tusk of a mammoth. It doesn't break, but it sheds and regrows. Even if 100 people step on it, it won't break."
Tiny Golem Stone,"A stone with a mark to activate a Golem. The mark is so minuscule, the one who wrote it must be a craftsman."
Paralysis Poison,"Toxic liquid that can paralyze you or poison you, depending on your luck. Or lack of luck."
Black Bird Feather,A soft black feather. The quill is rather sharp.
Vine,"A long, thin vine that can be used to tie down, wind about, and otherwise constrict things."
Insect Horn,A jagged insect horn that has a patchy pattern.
Mysterious Powder,A.k.a. Zombie Powder. It's veiled in mystery. Undead mystery.
Wet Scale,A scale damp with moisture.
Magic,An elixir with magic power. It's necessary for wizards.
Gold Wolf Fang,A sharp fang that glitters. It takes any prey down with a one bite.
Blue Giant's Glove,"A glove used by a Blue Giant. Almost impossible to tear it apart. Why you would even try, I have no idea."
Thick Stick,"A thick stick that can be used for materials, but is not a substitute for lumber. At least you can smack people upside the head with it and laugh!"
Magic Claw,A sharp claw with magic power. It's the best to equip it with an animal suit.
Glistening Blade,A blade of a scythe. It's glistening.
Fairy Elixir,Secret fairy item. Fairies are considered full- fledged sprites when they have this.
Great Hammer Shard,A shard of a broken hammer that used to be a legendary weapon.
Golem Stone,A stone with a mark to activate a Golem. The mark might just come off if you rub it.
Blk. Tortoise Shell,A shell that is extremely hard. You need to be skilled enough to work on this.
Thunderbird Feather,A soft-textured feather that contains electricity.
Big Giant's Nail,A huge fingernail from a big giants. Even grosser!
Yellow Feather,A soft-textured yellow feather. It's believed to bring happiness.
Quality Worn Cloth,"Used to be a high-quality cloth, but it's worn out from overuse."
Pirate's Armor,A shoulder guard made of steel.
Blade Shard,A small piece of a blade from a knife or something. Don't touch it with your bare hands.
Proof of Rank,"Proof that you are in a high position. If you lose it... well, it's over."
Turnip's Miracle,A mysterious item that is said to show the order of the world. The root of dreams?
Dragon Scale,"One of many scales that cover a dragon's body. Diamond hard, and also effective as a charm."
Golem Spirit Stone,A stone with a mark to activate a Golem. The spirit is unchanging forever.
Ancient Orc Cloth,"An orc's cloth that is described as a legendary cloth sometimes. But a cloth is a cloth, and an orc is an orc."
Queen's Jaw,A jaw that chews everything up except for diamonds. Diamonds are forever!
Poison King,Liquid that is very toxic. Just one lick is fatal. So stop licking it!
Dangerous Scissors,"Scissors that look dangerous. But dangerous means sexy, some people say. Just don't run with them."
Chimera's Claw,A claw of a Chimera. It looks amazing enough to be called the claw of a king.
Tablet of Truth,"A tablet that was once part of a Golem's body. It has 'EMETH' written on it, and serves as a source of power."
Big Bird's Comb,"A big cock's comb. When you get mad, just try to ""comb"" down."
Battle Turnip,"A turnip used during the Turnip Fight, held each year in prayer for a good harvest (and for fun!)."
Black Scale,A dragon's scale. You feel darkness emanating from it.
Blue Scale,An ocean-blue dragon's scale. It makes you feel intelligent just holding it.
Glitter Scale,It glitters and shines. Mesmerizing. Like tinfoil.
Crimson Scale,A dragon scale the color of flames.
Love Scale,A scale that is famous as a love charm. But only few people have ever seen it because of its rarity.
Dragonic Stone,A mineral that was believed not to exist in reality.
Masu Trout,"One of the most common fish. Mostly found in rivers, but sometimes also found out at sea."
Squid,A mollusk that's active at night. Uses the fins on its body to swim like it's flying in the water.
Taimen,The largest freshwater salmonid. Very rare and valued.
Sardine,"A fairly easy fish to catch. Swims in shoals, and is often viewed as a beautiful, tasty delight."
Char,A fish people just love to catch. Prefers swimming in cold water.
Chub,"A fish with a dark line on its body. During spawning season, it develops two more lines."
Glitter Snapper,"A fish with a body of glittering silver. Very easy to spot, but hard to catch."
Skipjack,A fall fish that requires power and skill to catch.
Turbot,A fish with both eyes situated on the right side of its body. Changes color depending on its environment.
Gibelio,Displays unique breeding characteristics due to females outnumbering males. Found in quiet rivers.
Salmon,"Spends most of its time in the ocean, but swims upstream to spawn in the river. Used in many recipes."
Mackerel,"Spoils easily. Often grilled or boiled, and often for a long time in order to disguise that it has spoiled. Tsk tsk!"
Needlefish,"Swims near the water's surface with its tiny, thin body. Has an aqua-colored back and a white belly."
Pike,"Named after its slim, long and slender body. A popular fall fish that's full of nutrients."
Sunsquid,A squid from the tropics. Has a tanned body and swims in shallow water.
Shrimp,A type of crustacean with its body protected by a hard shell. Has 13 pairs of legs.
Snapper,A fish known to bring good luck. Has long been served in festivals and ceremonies.
Throbby Snapper,A rare type of snapper that's considered legendary among fishermen.
Rainbow Trout,"A mid-sized fish that lives in rivers. Very poisonous. During spawning season, the males shine in rainbow colors."
Flounder,A fish with both eyes on the left side of its body. Has a larger mouth and sharper teeth than a Turbot.
Blowfish,"Known as one of the most expensive fish. Filled with poison, requiring high skill to cook safely."
Yellowtail,A stock name given to numerous varieties of fish. All have large bodies and are renowned for bringing good luck.
Crucian Carp,"Matures fast, and also lives long. Mostly eats plankton. Requires both skill and luck to catch."
Tuna,A large and tasty fish that's widely loved. Traded at high prices and generally found in deep waters.
Girella,"A winter fish caught in the ocean. Easy to find, but renowned for its powerful pull."
Fall Flounder,"A fish that looks like fallen leaves. When seen swimming, you'd just think there's debris floating by."
Cherry Salmon,"A small freshwater fish. Found in various places due to its popularity -- it's often ""stocked."""
Lamp Squid,"A squid with a lamp-shaped body. The lamp holds poison with a sealing effect, so it must be cooked with caution."
Lobster,A giant shrimp with walking legs. Its two large front claws are used to threaten enemies.
Pond Smelt,"Thin and small, but adaptive, with a large habitat. Most often found during ice fishing."
Sand Flounder,"A unique fish that swims in the sand. Gets nutrition from small minerals, making its body firm and sandy."
Rockfish,A unique fish that swims in the sand. Has a hard head that can crush even rocks.
Can,An empty can that someone tossed aside. Don't follow suit -- littering is bad!
Boot,An old boot that was found floating in the water. Worn-out and useless.
Rare Can,A rare can that's no longer manufactured. Worth a lot among collectors.
Rock,An ordinary rock. Hit it with a hammer to make usable material out of it.
Branch,A tree branch that blew in. Chop it up with an axe to make Lumber.
Lumber,Wood needed to build buildings. Always keep a lot of it in stock -- it will definitely come in handy!
Material Stone,Stones needed to build buildings. Always keep a lot of them in stock -- they will absolutely come in handy!
Escape,"Used for instant transport. Where it takes you depends on where you use it, but the last stop is always home."
Fireball,Hurls small fireballs. Can hurl up to 3 at a time.
Big Fire,Hurls large fireballs. Can hurl up to 2 at a time.
Explosion,"Hurls giant fireballs that cause explosions on impact, damaging their surroundings."
Water Laser,"Emits a water beam that can penetrate stone. The longer you maintain it, the bigger the impact."
Parallel Laser,"Emits 2 water beams that can penetrate stone. The longer you maintain them, the bigger the impact."
Delta Laser,Emits 3 water beams that can penetrate stone. Particularly effective when surrounded by foes.
Screw Rock,Summons sharp rocks that substitute for your fists. Designed for fighter mages.
Earth Spike,Summons stone pillars that track enemies and strike them from below.
Avenger Rock,"Stabs its target with a large rock. Also known as the ""drill punch."""
Sonic Wind,Emits spinning wind blades that automatically track and shred their foes to pieces.
Double Sonic,Emits 2 spinning wind blades. Their arched trajectory makes it hard to attack enemies in front.
Penetrate Sonic,"Emits 3 spinning wind blades that move freely in multiple directions, shredding to bits all who get in their way."
Light Barrier,"Emits 2 light balls in front of you, protecting from enemies."
Shine,"Emits 4 light balls that spin around you, protecting you from enemies."
Prism,Emits spinning light balls. Provides complete protection from all enemies for a short while.
Dark Ball,Emits a dark light ball that travels slowly and destroys everything in its way.
Dark Snake,Emits a dark light ball that snakes forward slowly and destroys everything in its path.
Darkness,Forbidden spell that summons an entrance to the depths of darkness.
Cure,"Recovers HP, for yourself and for nearby companions. Doesn't recover much, but uses few RP."
Cure All,"Recovers a lot of HP for you and your companions, even if they're not close by. Uses lots of RP."
Master Cure,"Greatly recovers HP, but consumes a large amount of RP in the process."
Medipoison,Cures poison. A purifying light will cleanse the toxins in your body.
Mediparalyze,Cures paralysis. A purifying light will enable you to move once more.
Mediseal,Cures seals. A purifying light will bring back your inner power.
Greeting Spell,"If you say hello, even people who don't like you will say hi back. They'll be your special friends. Your special awake friends."
Power Wave,Weapon: Short Sword Charge power to release shock waves.
Dash Slash,Weapon: Short Sword Close the gap between enemies in an instant. Good timing may net you an additional leg drop.
Rush Attack,Weapon: Short Sword Press the button repeatedly for additional attacks and a finisher.
Round Break,Weapon: Short Sword A cyclone attack that blows away foes. Great to use when surrounded.
Mind Thrust,Weapon: Short Sword Find and attack your enemy's weak point. May inflict status ailments as well.
Gust,Weapon: Dual Blades Jump up and soar in the air. Also useful for dodging attacks.
Storm,Weapon: Dual Blades Execute continuous attacks in the air. Keep pressing the button for additional moves.
Blitz,Weapon: Dual Blades Speed up attack rate by sharpening concentration.
Twin Attack,"Weapon: Dual Blades Stab, twist and pull -- like a psychotic mantra. Simple, but effective."
Rail Strike,Weapon: Dual Blades A jump-spin attack. Dynamic and hard to counter.
Wind Slash,Weapon: Long Sword A vertical jump-spin attack. Keep pressing the button to increase the number of spins.
Flash Strike,Weapon: Long Sword Blow away foes with one swing. Covers wide areas very effectively.
Naive Blade,Weapon: Long Sword Anticipate your enemy's attacks and quickly strike back.
Steel Heart,"Weapon: Long Sword Become strong enough not to stagger when attacked, but take more damage."
Delta Strike,Weapon: Long Sword A fluid attack of lunging and cutting.
Hurricane,"Weapon: Spear A fancy attack with a toss, spin and juggle."
Reaper Slash,Weapon: Spear Long-ranged attack. Best used when surrounded.
Millionstrike,Weapon: Spear A swift stab. Creates shock waves to hit multiple times.
Axel Disaster,Weapon: Spear Spinning and boring. Must face the enemy head-on to inflict continuous damage.
Stardust Upper,Weapon: Axe/Hammer Knock enemies into the air. They can also be attacked while spinning.
Tornado Swing,Weapon: Axe/Hammer Spinning lunge attack. Keep pressing the button to increase the number of spins. Just don't make yourself dizzy!
Grand Impact,Weapon: Axe/Hammer Hit the ground and cause an earthquake. Press the button for multiple hits.
Giga Swing,"Weapon: Axe/Hammer With its incredible strength, enemies are blown back until they hit something."
Upper Cut,Weapon: Fist Launch enemies into the air.
Double Kick,Weapon: Fist Spin and kick enemies so hard.
Straight Punch,Weapon: Fist Concentrate and give foes a strong blow.
Neko Damashi,Weapon: Open Hand A legendary technique using palm of the hand to cause distress and surprise all in one!
Rush Punch,Weapon: Fist Punch many times at high speed. Enemies are already dead.
Cyclone,Weapon: Fist Blow away enemies by spinning your body super fast.
Rapid Move,Weapon: Fist Move toward an enemy in an instant. Also useful to dodge attacks.
Bonus Concerto,A musical score that inspires allied monsters to do their best in combat.
Striking March,A musical score that powers up allied monsters' strength until the end of the day.
Iron Waltz,A musical score that powers up allied monsters' defense until the end of the day.
Minerals,"Used as materials to create tools, weapons, and armor. Mainly collected by hitting rocks with a hammer."
Liquids,Shapeless matter that is used as a material.
Claws and Fangs,"Monsters' body parts used to attack foes such as ""Insect Jaws"" and ""Panther Claws."" Often used to reinforce weapons."
Sticks and Stems,Often used as a shaft or handle.
Cloths and Skins,"Soft and plate-shaped substances for making clothes such as ""Insect Carapace"" and ""Cheap Cloth."""
Furs,Monster furs and such that are soft and strong.
Strings,Long cotton-like materials used to tie things down or connect.
Shards,"Shards that were once a part of something such as ""Arrowheads"" and ""Blade Shards."""
Powders and Spores,"Powders that mostly have magic power in them such as ""Spores"" and ""Fairy Dust."""
Scales,"Monster scales that are very hard and precious such as ""Wet Scales"" and ""Dragon Scales."""
Shells and Bones,"Because of their overall solidness, they're very useful as armor."
Stones,"Stones used as materials. Nobody really cares about them, but they're useful."
Turnip,The king of all crops. It has been through many hardships to stay in this position. Bow down to the turnip.
Crystals,Substances made of runes that have crystalized. Often imbued with magic power.
Jewels,"Precious stones with magic power such as ""Amethysts"" and ""Aquamarine."" Mostly collected from colored minerals."
Feathers,"Fluffy, soft and downy feathers."
Jam,Jam made by boiling fruits. Usually eaten with bread.
Curry,"Staple dishes often served in households such as ""Curry Rice"" and ""Dry Curry."""
Squid,A mollusk that's active at night. Uses the fins on its body to swim like it's flying in the water.
Battle Turnip,"A turnip used during the Turnip Fight, held each year in prayer for a good harvest (and for fun!)."
Gold Battle Turnip,A turnip used during the Turnip Fight. You can score big with one of these!
Bullet,Score high by hitting turnips with this bullet!
Golden Bullet,Score high by hitting turnips with this bullet!
Cherry Turnip,"A turnip used during the Turnip Fight, held each year in prayer for a good harvest (and for fun!)."
Disgusting Food,A failed meal often employed during the Turnip Fight. Mainly used for defense.
